"id","ATTRIBUTE"
"159153","B440|B536|H905|H964|H964|S205|S673|S673|T250|T569|T799|T799|T849|X482|Y012|Y231"
"159161",NA
"159170","B458|H646|H941|H963|Q768|T148"
"159172",NA
"159181","B458|H905|H941|P105|S416|T148|T603|T609"
"159189","B476|T029|Y012"
"159199","H877|X891"
"159214","Y202"
"159216","B536|H646|H941|P105|R921|S051|Y012|Y678|Y678"
"159232","S996|X891"
"159259","B458|B476|H905|H941|H964|R921|R921|S991|S996|T603|T609|Y330"
"159264","H905|H964|R107|R921|T603|T609"
"159266","H964|T045|Y012"
"159277","B536|Y231|Y678"
"159279",NA
"159346","B527|X891"
"159409","H877"
"159411","H877"
"159412","H877"
"159413","H877"
"159414","H877"
"159631","H963|Q768|Q884|R114|S237|S243|S744|S801|S960|S996|T003|T045|T148|T799|Y230|Y281|Y282|Y690|Y694"
"159634","H962|H963|S237|S744|S960|T150"
"159639","S801|Y239"
"159641","H963|Q768|S801|S996"
"159648","T045|T148"
"159655","H962|H963|Q768|S237|S960|S996|T148|T799|Y230"
"159658","Q884|T148|Y282|Y694"
"159660","H963|S237"
"159670","H963|Y239"
"15970","Y260"
"159709","Q768"
"159726","P105"
"159727","R107|T403|Y281"
"159729","S051|Y281"
"159731","T584"
"159763",NA
"159786","H941"
"159788","T849"
"160051",NA
"160110","S055|T148"
"160144","Q768|S197|T250|T569"
"160152",NA
"160164",NA
"160177","H941|H964|S205"
"160179","H646|H905|H941|H964|S205|Y012|Y239|Y281"
"160185","B458|R107"
"160188","Y202|Y281"
"160189","P193|Y202"
"160199","H962|Y230|Y239"
"160435","R699|T603"
"160459","B440|B440|B458|B476|B536|H941|H941|H941|H964|H964|P105|P105|P105|R699|R921|R921|R921|T603|Y330"
"160482","B440|B458|H905|H905|H941|H941|H964|H964|H964|P105|P105|R921|R921|S051|S051|S051|T603|T603|Y330"
"160483","B476|H941|S051|S051"
"160506","S299|T800|X481"
"160541","B440|B458|B536|H905|H905|H941|H964|H964|P105|P105|R921|R921|S051|T603|T796"
"16059","H713"
"16060","H713"
"160923",NA
"161013",NA
"161014",NA
"161084",NA
"161200","R107|T029|X891|Y330"
"161479","T029|T138|T148"
"162185",NA
"162210","B458|H646|S103|S197|S342"
"162374","H898|S197"
"162498","S299|Y234"
"162503",NA
"162504",NA
"162520","S991|T569"
"162545","B458|H713|H877|H962|H963|H996|P105|Q884|R921|R942|S103|S237|S342|S416|S801|S991|S996|T609|T796|Y011|Y231|Y239|Y280|Y486|Y486|Y666|Y681|Y685"
"162546","B458|H646|P105|R921|R942|S342|Y681"
"162556","H877|Q748|T796"
"162567","H962"
"162568","H962|Y239"
"162576",NA
"162579","S205|T138|T250|T250|T261|T569|T569|Y012|Y678"
"162582","Q768|R425|S960"
"162594","H646|S197|Y012|Y012|Y012|Y231|Y678|Y678"
"162604",NA
"162608",NA
"162613",NA
"162615",NA
"162652",NA
"162659",NA
"162972","H646"
"163069","Q884|T855|Y281"
"163084","B476|B536|H646|R699|S197|T250|Y012|Y678"
"163104","B536|T850"
"163108",NA
"163110","T799"
"163112","T799"
"163166","B476|B476|S197|T250|Y678"
"163170","B476|B476|R699|T250"
"163180","R699|S197|Y678"
"163198","T799"
"163200","T799"
"163291",NA
"163292",NA
"163295","R107|R894|S996|T045"
"163296",NA
"163298",NA
"163311","T029|T569|X891"
"163323",NA
"163363","H646|H905|S197|Y012|Y678"
"163390","Q768|S960|S991|S996|T029|X891"
"163449","H962|H963|Q768"
"163496","S960|X891"
"163567","H646|Y281|Y281"
"163584","B536|S416"
"163591","B440|B458|B476|B527|B536|H964|Q748|R699|S055|T849"
"163666","B440|H905|R921"
"163958","T250"
"163962","T850|X814"
"163964","B476|R699"
"163967",NA
"163970",NA
"163986","H898|R894|S996|Y281"
"163988","R107|X891|Y231|Y678"
"163989",NA
"163994",NA
"163995","T045|Y281"
"164000","P193|Q748|R114|S243|T849|Y280|Y685"
"164001","Q748|S197|T849|Y280"
"164005",NA
"164010",NA
"164020","H941|S205|T849"
"164025","S205"
"164031","Y281"
"164039","B536|H898|Q768|S996|T045|T138|T148|T261|T569|T609|T796|X891|Y202"
"164046","S801|T029"
"164047","P193|S801|T138"
"164050","B440|B536|H905|R894|S863|S996|Y678"
"164058","S205|S673|S863|T138|T250|T799|X891"
"164063","Q768|Y281"
"164072","T029|T603"
"164076","H646|H646|S205|T138"
"164078","Y282"
"164079","Q768|Y282"
"164086","Y012|Y678"
"164088","T088|T138"
"164097","R107|T029|T045|T138|Y282"
"164099","T250"
"164101",NA
"164114",NA
"164115",NA
"164116",NA
"164125","H898"
"164126","Y281"
"164129",NA
"164130",NA
"164131",NA
"164151","B440|H898|R425|T569|Y012"
"164152","T569"
"164191","Q768|R425"
"164198","Y234"
"164201","H713|T088"
"164203","H713|T088"
"164205","H713|T088"
"164206","H713"
"164213","B440|B476|B476|B536|B536|R699|R699|S197|S197|T250|T250|Y012|Y012|Y678|Y678"
"164229","S299|T798|T800|T800|T857|T859|T859|X481|X814"
"164343","H646|R107"
"164348","H941|H964"
"164356","H646|H877|H962|H964|P105|P105|Q748|R894|R942|S051|S103|S960|S991|S991|S996|S996|T148|T148|T796|T851|T851|Y231|Y239|Y239|Y282|Y282|Y330"
"164359","P105|Y231|Y239"
"164361","H962|Q768|Q768|R942|S960|S960|S991|Y231"
"164445","P105|R921|T609"
"164851",NA
"164971","B527|H877|H996|P193|Q748|R942|S055|T131|T133|T796|T849|X482|X508|Y202|Y237|Y256|Y280"
"164973",NA
"165058",NA
"165085","B440|B458|H646|H905|H941|Q768|S996|T029"
"165116","B440|H898|T261"
"165130","S863"
"165195","B458|B476|B476|R699|R921|S051|S416|T603|T609"
"165196","B458|B476|B476|B536|H964|H964|P105|R699|S051|S197|S416|S416|Y330"
"165614","S103|S103|S103|S143|T131|T851|Y011|Y237|Y260|Y260"
"165842","Y231|Y231"
"16597","Q768"
"16598","Q768|S673"
"16600","Q768|S416|Y681"
"16601","Q768|Y681"
"16602","Q768|Y281|Y681"
"16603",NA
"16634",NA
"16635",NA
"16640","Q768|Y239"
"16647",NA
"167221",NA
"167226",NA
"167227",NA
"167241","B476|B476"
"167243","S143"
"167249","S143"
"167254","H713|T088"
"167257","H713|H713|T088"
"167258","H713|T088"
"167259","H713|H713|T088"
"167276","H713"
"167282","S296"
"167287","R107|X891"
"167290","Q768|Y681"
"167291","Q768|Y282|Y681"
"167294","Q768|S243|Y282"
"16730","Q768|Y282"
"167305","Y239|Y282"
