"Sample","Hmsq","Hcos","Ans","IQ"
"H964-3-Bu.mzXML",0.851516350639842,0.960252328955634,0.389705882352941,0.266175146017194
"H964-3-EA.mzXML",0.79361070212305,0.955375900141428,0.381578947368421,0.2898114834557
"H964-3-Me.mzXML",0.790549792465853,0.951683755286485,0.386243386243386,0.290507688668092
"H996-3-Bu.mzXML",0.685696480796442,0.945461884333565,0.394736842105263,0.324701597588243
"H996-3-EA.mzXML",0.665723913389114,0.888763033732108,0.189473684210526,0.418679789556084
"H996-3-Me.mzXML",0.673724861669554,0.895819865902829,0.271604938271605,0.386283444718671
"neg-3-Bu.mzXML",0.733974213753144,0.70668420039646,0.225225225225225,0.444705453541724
"neg-3-EA.mzXML",0.795300488282231,0.851354299512603,0.296296296296296,0.35234963863629
"neg-3-Me.mzXML",0.720201678181347,0.735183344572615,0.193939393939394,0.450225194435548
"P105-3-Bu.mzXML",0.703314533535669,0.953692541359231,0.441176470588235,0.300605484838955
"P105-3-EA.mzXML",0.793407701019622,0.934601522707424,0.360655737704918,0.303778346189345
"P105-3-Me.mzXML",0.778280948725705,0.91197955223294,0.396551724137931,0.304395924967808
"P193-3-Bu.mzXML",0.866248415155012,0.842873258175146,0.4,0.296959442223281
"P193-3-EA.mzXML",0.753366363571806,0.826873980002949,0.186274509803922,0.411161715540441
"P193-3-Me.mzXML",0.764463582460888,0.886713376001538,0.267441860465116,0.360460393690819
"Q748-3-Bu.mzXML",0.795205992289133,0.673371698778973,0.416666666666667,0.371585214088409
"Q748-3-EA.mzXML",0.809573092891824,0.816918893265003,0.306122448979592,0.35579518828786
"Q748-3-Me.mzXML",0.554743986043664,0.652765915222683,0.216216216216216,0.525424627505812
"Q768-3-Bu.mzXML",0.714084060852331,0.673745585259882,0.209090909090909,0.467693148265626
"Q768-3-EA.mzXML",0.637392468562739,0.718304196431411,0.15702479338843,0.495759513872473
"Q768-3-Me.mzXML",0.734835220810471,0.94059253109415,0.297124600638978,0.342482549152134
"Q884-3-Bu.mzXML",0.793925010385257,0.921809992757253,0.288888888888889,0.331792035989534
"Q884-3-EA.mzXML",0.691930442686279,0.838372382573602,0.461538461538462,0.336052904400553
"Q884-3-Me.mzXML",0.647766968431605,0.960441650338194,0.392156862745098,0.333211506161701
"R107-3-Bu.mzXML",0.942291327952402,0.852859873475235,0.377483443708609,0.275788451621251
"R107-3-EA.mzXML",0.844579419476853,0.816147883376582,0.329113924050633,0.336719591031977
"R107-3-Me.mzXML",0.9317324468784,0.898880851133062,0.319277108433735,0.283369864518268
"R114-3-Bu.mzXML",0.623439970605846,0.851542052205709,0.220588235294118,0.434809913964776
"R114-3-EA.mzXML",0.569675590066392,0.924831782751597,0.271739130434783,0.411251165582409
"R114-3-Me.mzXML",0.700612610285574,0.926631499946542,0.296610169491525,0.35871524009212
"R416-3-Bu.mzXML",0.766485285847644,0.759202982788313,0.130909090909091,0.447800880151651
"R416-3-EA.mzXML",0.658982528604026,0.800764868291155,0.129032258064516,0.470406781680101
"R416-3-Me.mzXML",0.698648724970467,0.825070933640317,0.160655737704918,0.438541534561433
"R425-3-Bu.mzXML",0.75743741329142,0.808142119340518,0.10472972972973,0.443230245879444
"R425-3-EA.mzXML",0.720857619380133,0.762064938159521,0.116465863453815,0.46687052633551
"R425-3-Me.mzXML",0.820634374145513,0.885754207574718,0.162011173184358,0.377200081698471
"R510-3-Bu.mzXML",0.461286961790852,0.508001960403064,0.428571428571429,0.534046549744885
"R510-3-EA.mzXML",0.450354603693402,0.897292275305009,0.258064516129032,0.464762868290852
"R510-3-Me.mzXML",0.708119350394371,0.633452522904827,0.375,0.427809375566934
"R551-3-Bu.mzXML",0.858529910695,0.74626350237771,0.356807511737089,0.3461330250634
"R551-3-EA.mzXML",0.786697416523302,0.810576980119915,0.304812834224599,0.365970923044061
"R551-3-Me.mzXML",0.784434394432998,1,0.316666666666667,0.299632979633445
"R699-3-Bu.mzXML",0.800392134276941,0.944987967745799,0.424528301886792,0.276697198696822
"R699-3-EA.mzXML",0.784811139592002,0.904119212057221,0.403669724770642,0.302466641193379
"R699-3-Me.mzXML",0.697290257982554,0.923931224772376,0.38961038961039,0.32972270921156
"R894-3-Bu.mzXML",0.819434498474142,0.623113002180374,0.311475409836066,0.415325696503139
"R894-3-EA.mzXML",0.798005636951875,0.758918941397421,0.311594202898551,0.377160406250718
"R894-3-Me.mzXML",0.741322289760721,0.955020876833391,0.255,0.349552277801963
"R909-3-Bu.mzXML",0.391661328013058,0.764814455951928,0.454545454545455,0.46299292049652
"R909-3-EA.mzXML",0.597537718272899,0.283118463402505,1,0.373114606108198
"R909-3-Me.mzXML",0.587818045026396,0.72808880328139,0.307692307692308,0.458800281333302
"R921-3-Bu.mzXML",0.776720334577194,0.933499552595363,0.385321100917431,0.301486337303337
"R921-3-EA.mzXML",0.776830579923131,0.935124731436538,0.350746268656716,0.312432806661205
"R921-3-Me.mzXML",0.748005459585157,0.92318857284527,0.391608391608392,0.31239919198706
"R942-3-Bu.mzXML",0.680831502093463,0.863196811234872,0.378378378378378,0.359197769431096
"R942-3-EA.mzXML",0.742839362954593,0.682507311046467,0.270833333333333,0.434606664221869
"R942-3-Me.mzXML",0.684572388868673,0.814858262260475,0.261538461538462,0.413010295777463
"S051-3-Bu.mzXML",0.663261842167542,0.936208538904587,0.380281690140845,0.340082642929009
"S051-3-EA.mzXML",0.81217323583612,0.927099470275871,0.392857142857143,0.289290050343622
"S051-3-Me.mzXML",0.674771710608545,0.986177957588633,0.415584415584416,0.307821972072802
"S055-3-Bu.mzXML",0.514690975649602,0.360127978572427,0.148148148148148,0.659010965876608
"S055-3-EA.mzXML",0.641701548308248,0.794297702201298,0.25609756097561,0.435967729504948
